epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,409.891,1.3127,3.09212,1.62761,0.57795,0.21803,0.21287,0.13136,1.34062,2.19789,1.90017,0.000369959,0.000369959,0.000369959
2,807.425,1.41922,2.23433,1.76188,0.59928,0.25728,0.25136,0.15467,1.4015,1.87742,1.92898,0.000725634,0.000725634,0.000725634
3,1204.78,1.40001,2.02656,1.7547,0.82962,0.23228,0.27973,0.17605,1.28566,1.72672,1.74858,0.00106664,0.00106664,0.00106664
4,1601.85,1.33287,1.90868,1.67844,0.64802,0.33869,0.33333,0.21127,1.16263,1.61696,1.62657,0.00104501,0.00104501,0.00104501
5,1998.7,1.28496,1.78079,1.64631,0.64862,0.35366,0.33923,0.23377,1.14069,1.45024,1.62246,0.00102301,0.00102301,0.00102301
6,2395.62,1.25907,1.628,1.60846,0.70813,0.31364,0.34868,0.23755,1.07362,1.32782,1.5837,0.00100101,0.00100101,0.00100101
7,2792.93,1.19693,1.62127,1.54313,0.69674,0.34562,0.37901,0.25663,1.07937,1.37481,1.53693,0.000979013,0.000979013,0.000979013
8,3189,1.14558,1.52775,1.50451,0.68591,0.38736,0.35902,0.24755,1.04312,1.26464,1.51555,0.000957015,0.000957015,0.000957015
9,3585.9,1.16863,1.41202,1.51916,0.52232,0.46815,0.42388,0.29661,0.9777,1.17553,1.45482,0.000935018,0.000935018,0.000935018
10,3982.48,1.09382,1.32446,1.45325,0.58707,0.43018,0.42413,0.30053,0.9992,1.1647,1.43788,0.00091302,0.00091302,0.00091302
11,4378.65,1.10673,1.32131,1.47495,0.59989,0.45936,0.44797,0.31179,0.97234,1.10995,1.42586,0.000891022,0.000891022,0.000891022
12,4775.26,1.06359,1.27424,1.42562,0.39115,0.55002,0.4682,0.33229,0.93961,1.03627,1.40426,0.000869024,0.000869024,0.000869024
13,5171.8,1.07671,1.21782,1.45147,0.69133,0.50579,0.52617,0.37743,0.929,0.98118,1.39516,0.000847026,0.000847026,0.000847026
14,5568.48,1.04951,1.25692,1.42504,0.60541,0.48177,0.49147,0.35204,0.91935,0.98174,1.38945,0.000825029,0.000825029,0.000825029
15,5965.17,1.05162,1.2162,1.40617,0.57071,0.55012,0.49066,0.3507,0.92816,0.99279,1.38016,0.000803031,0.000803031,0.000803031
16,6362.12,1.03614,1.1925,1.39474,0.54624,0.56649,0.5704,0.40242,0.93415,0.92279,1.4041,0.000781033,0.000781033,0.000781033
17,6758.63,1.00366,1.1205,1.36048,0.50281,0.58272,0.57173,0.42134,0.86754,0.88795,1.31985,0.000759035,0.000759035,0.000759035
18,7154.83,1.01337,1.0957,1.39508,0.52449,0.62881,0.57254,0.40495,0.8805,0.87957,1.33146,0.000737037,0.000737037,0.000737037
19,7551.84,0.99178,1.09327,1.36669,0.5414,0.63432,0.59306,0.42415,0.87656,0.89893,1.32743,0.00071504,0.00071504,0.00071504
20,7948.5,0.96942,1.05077,1.33679,0.45836,0.59249,0.53573,0.38955,0.88478,0.89287,1.33548,0.000693042,0.000693042,0.000693042
21,8344.92,0.95483,1.02573,1.33434,0.58813,0.58477,0.59071,0.42993,0.85619,0.86943,1.31566,0.000671044,0.000671044,0.000671044
22,8741.65,0.97739,1.02041,1.35707,0.6239,0.61377,0.59571,0.42566,0.89964,0.8193,1.35976,0.000649046,0.000649046,0.000649046
23,9138.59,0.95192,0.9878,1.33017,0.55236,0.59648,0.56925,0.40575,0.8648,0.86302,1.3279,0.000627048,0.000627048,0.000627048
24,9535.51,0.93925,0.97652,1.33327,0.61293,0.61163,0.62825,0.45723,0.84839,0.79104,1.31082,0.000605051,0.000605051,0.000605051
25,9931.75,0.92378,0.94073,1.30803,0.63174,0.58839,0.62357,0.45859,0.8475,0.803,1.30507,0.000583053,0.000583053,0.000583053
26,10328.3,0.95241,0.95025,1.32202,0.57129,0.62331,0.57978,0.42323,0.84213,0.81923,1.30558,0.000561055,0.000561055,0.000561055
27,10724.4,0.92246,0.95228,1.31048,0.61384,0.62826,0.64699,0.47335,0.82973,0.76975,1.2966,0.000539057,0.000539057,0.000539057
28,11120.8,0.9127,0.91811,1.30008,0.5947,0.62364,0.62002,0.45991,0.82947,0.77467,1.29041,0.000517059,0.000517059,0.000517059
29,11517.1,0.90372,0.88252,1.30152,0.57617,0.56849,0.58786,0.43086,0.82791,0.76712,1.28803,0.000495062,0.000495062,0.000495062
30,11913.3,0.91667,0.87872,1.29119,0.67514,0.63143,0.67897,0.48997,0.82035,0.70281,1.27215,0.000473064,0.000473064,0.000473064
31,12309.6,0.89961,0.87516,1.29782,0.69728,0.61628,0.68647,0.51084,0.81642,0.71449,1.27124,0.000451066,0.000451066,0.000451066
32,12705.8,0.89838,0.84778,1.2703,0.70668,0.61579,0.67209,0.49216,0.80759,0.72005,1.25606,0.000429068,0.000429068,0.000429068
33,13102.2,0.86514,0.80462,1.25785,0.66881,0.65374,0.69023,0.50618,0.81362,0.6825,1.26528,0.00040707,0.00040707,0.00040707
34,13498.6,0.87311,0.79699,1.25328,0.6887,0.64208,0.66923,0.50082,0.81404,0.716,1.26631,0.000385073,0.000385073,0.000385073
35,13894.9,0.86167,0.80498,1.25456,0.69632,0.64459,0.6959,0.50306,0.81818,0.68403,1.2655,0.000363075,0.000363075,0.000363075
36,14291.5,0.84205,0.81567,1.23607,0.61842,0.68436,0.66849,0.4904,0.8079,0.71237,1.25579,0.000341077,0.000341077,0.000341077
37,14687.8,0.85969,0.77239,1.26157,0.64086,0.70373,0.68083,0.49863,0.80205,0.6731,1.25471,0.000319079,0.000319079,0.000319079
38,15084.2,0.83725,0.73894,1.23528,0.6884,0.6645,0.69854,0.51747,0.80208,0.65619,1.2609,0.000297081,0.000297081,0.000297081
39,15480.5,0.8264,0.72349,1.22889,0.68293,0.68835,0.70058,0.52472,0.79003,0.68636,1.23632,0.000275084,0.000275084,0.000275084
40,15877.2,0.82094,0.75392,1.20886,0.74107,0.65037,0.70241,0.5228,0.78065,0.64924,1.23538,0.000253086,0.000253086,0.000253086
41,16266.4,0.78088,0.63556,1.22598,0.67421,0.6966,0.72298,0.53353,0.78376,0.62192,1.22768,0.000231088,0.000231088,0.000231088
42,16656,0.76814,0.61578,1.22402,0.66986,0.67218,0.68685,0.50655,0.7894,0.64896,1.23383,0.00020909,0.00020909,0.00020909
43,17045.4,0.76242,0.59617,1.20765,0.68318,0.67618,0.71705,0.52817,0.7785,0.62648,1.22759,0.000187092,0.000187092,0.000187092
44,17434.7,0.74934,0.57756,1.19729,0.72186,0.6909,0.72029,0.54116,0.77193,0.6103,1.22043,0.000165095,0.000165095,0.000165095
45,17823.9,0.74133,0.56443,1.18868,0.69823,0.68227,0.71398,0.53207,0.77188,0.6089,1.22423,0.000143097,0.000143097,0.000143097
46,18213.4,0.73907,0.57057,1.19064,0.70184,0.64772,0.71209,0.53115,0.77526,0.62586,1.2219,0.000121099,0.000121099,0.000121099
47,18603,0.74207,0.56705,1.20361,0.72911,0.66968,0.71154,0.54101,0.76971,0.59599,1.22416,9.91012e-05,9.91012e-05,9.91012e-05
48,18992.5,0.72595,0.54208,1.17694,0.70891,0.68263,0.7285,0.55261,0.76015,0.59235,1.2102,7.71034e-05,7.71034e-05,7.71034e-05
49,19382,0.71156,0.52974,1.16847,0.67578,0.70172,0.7258,0.54921,0.75997,0.59138,1.21408,5.51056e-05,5.51056e-05,5.51056e-05
50,19771.3,0.71763,0.52931,1.16885,0.68489,0.67432,0.72706,0.54788,0.76025,0.59089,1.21144,3.31078e-05,3.31078e-05,3.31078e-05
