epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,454.274,1.16015,2.70393,1.14347,0.54522,0.42492,0.36139,0.23908,1.07696,2.0967,1.13497,0.000369584,0.000369584,0.000369584
2,902.45,1.10401,1.85262,1.138,0.69923,0.43156,0.46776,0.31376,0.94418,1.61179,1.08466,0.000725267,0.000725267,0.000725267
3,1350.09,1.08957,1.58088,1.13934,0.65691,0.46571,0.48371,0.32268,0.98615,1.39385,1.11663,0.00106628,0.00106628,0.00106628
4,1805.64,1.10042,1.44607,1.14284,0.67848,0.5734,0.58067,0.40465,0.94205,1.2359,1.08871,0.00104501,0.00104501,0.00104501
5,2250.31,1.07968,1.27966,1.12898,0.46715,0.67078,0.61553,0.42133,0.9316,1.13177,1.08972,0.00102301,0.00102301,0.00102301
6,2519.52,1.02761,1.14261,1.09251,0.65021,0.56664,0.57827,0.39533,0.97606,1.03733,1.09231,0.00100101,0.00100101,0.00100101
7,2784.03,1.02033,1.15795,1.09923,0.62848,0.65339,0.63977,0.44729,0.88959,0.96702,1.05678,0.000979013,0.000979013,0.000979013
8,3048.86,1.02409,1.09479,1.10259,0.61963,0.65704,0.639,0.45379,0.88015,0.88961,1.04591,0.000957015,0.000957015,0.000957015
9,3315.93,0.9828,0.99648,1.07582,0.65105,0.63913,0.65402,0.46186,0.88728,0.84805,1.04919,0.000935018,0.000935018,0.000935018
10,3580.21,0.96881,0.92548,1.06474,0.66374,0.71382,0.6533,0.47029,0.86201,0.91888,1.03914,0.00091302,0.00091302,0.00091302
11,3843.21,0.9626,0.93627,1.0642,0.71403,0.64311,0.66906,0.48019,0.85535,0.79774,1.03171,0.000891022,0.000891022,0.000891022
12,4107.36,0.96756,0.94385,1.07969,0.67935,0.64471,0.67712,0.49044,0.84615,0.8001,1.02705,0.000869024,0.000869024,0.000869024
13,4375.74,0.96425,0.92773,1.07555,0.68688,0.68185,0.70976,0.51093,0.8362,0.77951,1.0208,0.000847026,0.000847026,0.000847026
14,4640.09,0.9583,0.87882,1.06935,0.77162,0.67851,0.72702,0.52494,0.84944,0.71919,1.02456,0.000825029,0.000825029,0.000825029
15,4905.86,0.93422,0.8529,1.04191,0.65817,0.69559,0.70019,0.51223,0.84398,0.74888,1.01732,0.000803031,0.000803031,0.000803031
16,5183.72,0.91618,0.85342,1.03558,0.66722,0.6528,0.68143,0.4982,0.83916,0.74773,1.03245,0.000781033,0.000781033,0.000781033
17,5447.82,0.92816,0.84038,1.05431,0.71162,0.71024,0.72651,0.5263,0.8302,0.70233,1.0267,0.000759035,0.000759035,0.000759035
18,5711.3,0.89791,0.83149,1.03197,0.72788,0.69439,0.70035,0.50455,0.82671,0.70757,1.01015,0.000737037,0.000737037,0.000737037
19,5974.51,0.93123,0.81589,1.04594,0.76581,0.69835,0.72317,0.5234,0.83992,0.75308,1.02084,0.00071504,0.00071504,0.00071504
20,6244.58,0.90456,0.77934,1.03503,0.71407,0.71789,0.72948,0.52239,0.819,0.65418,1.01062,0.000693042,0.000693042,0.000693042
21,6509.26,0.89971,0.75146,1.03604,0.74967,0.66838,0.72085,0.51915,0.81472,0.65775,1.00998,0.000671044,0.000671044,0.000671044
22,6773.01,0.90555,0.75943,1.03001,0.69793,0.7148,0.74921,0.55174,0.80451,0.67053,0.99325,0.000649046,0.000649046,0.000649046
23,7040.5,0.88773,0.77105,1.03127,0.76457,0.67642,0.70816,0.51195,0.81435,0.67404,1.00407,0.000627048,0.000627048,0.000627048
24,7304.75,0.90607,0.74799,1.03722,0.72702,0.67257,0.73723,0.54173,0.80654,0.6386,1.00176,0.000605051,0.000605051,0.000605051
