epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,350.282,1.2366,2.29924,1.0306,0.67788,0.30611,0.304,0.20324,1.04538,1.56889,0.97036,0.000369584,0.000369584,0.000369584
2,680.116,1.12223,1.52379,1.00325,0.38418,0.37226,0.35869,0.22825,1.12271,1.4612,1.01376,0.000666665,0.000666665,0.000666665
3,1015.51,1.11325,1.34882,1.01813,0.45131,0.56983,0.4742,0.29878,1.01784,1.29548,0.9891,0.000890421,0.000890421,0.000890421
4,1369.43,1.07957,1.21112,1.00497,0.49555,0.59711,0.52117,0.33042,0.95854,1.17631,0.95193,0.000781033,0.000781033,0.000781033
5,1704.21,1.06733,1.10916,0.98425,0.53395,0.64663,0.57093,0.36825,0.96912,1.09453,0.96529,0.000671044,0.000671044,0.000671044
6,2033.02,1.01787,1.01273,0.97733,0.53512,0.5971,0.56932,0.37827,0.92396,0.94444,0.94443,0.000561055,0.000561055,0.000561055
7,2354.37,0.97505,0.91575,0.95629,0.53465,0.63583,0.60244,0.3934,0.90088,0.92162,0.93741,0.000451066,0.000451066,0.000451066
8,2678.74,0.95624,0.87545,0.95047,0.5697,0.68013,0.60272,0.4049,0.88099,0.86052,0.92562,0.000341077,0.000341077,0.000341077
9,3001.38,0.92667,0.83551,0.9365,0.62549,0.59768,0.60657,0.41883,0.84669,0.79645,0.9172,0.000231088,0.000231088,0.000231088
10,3320.95,0.90825,0.7845,0.93174,0.59251,0.59224,0.60084,0.40984,0.85643,0.78537,0.91917,0.000121099,0.000121099,0.000121099
